city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,longyearbyen,0,61,78.22,-12.28,2.42
1,mataura,81,92,-46.19,52.0,0.54
2,hami,0,75,42.8,8.67,2.53
3,ixtapa,100,91,20.7,75.0,1.01
4,butaritari,7,72,3.07,84.85,9.24
5,busselton,21,54,-33.65,68.0,11.39
6,rikitea,0,79,-23.12,78.44,15.35
7,yellowknife,100,84,62.46,5.0,11.01
8,arraial do cabo,0,84,-22.97,76.12,15.86
9,nikolskoye,95,73,59.7,32.0,1.99
10,bolshoye selo,68,81,57.72,27.03,14.81
11,saldanha,56,88,-33.01,66.2,11.41
12,madarounfa,2,9,13.31,73.72,11.01
13,barrow,90,68,71.29,-18.4,9.17
14,punta arenas,72,51,-53.15,59.0,35.01
15,rokytne,85,86,51.28,32.27,10.09
16,tacoronte,75,67,28.48,66.99,9.17
17,shirgaon,17,62,19.7,77.67,15.37
18,moorhead,90,85,46.87,26.01,5.82
19,omboue,21,89,-1.57,77.92,4.09
20,kavaratti,2,68,10.57,81.77,5.77
21,flinders,95,22,-34.58,77.0,3.0
22,norman wells,100,95,65.28,-18.45,10.85
23,kapaa,68,59,22.08,68.0,7.18
24,twentynine palms,1,44,34.14,64.0,5.14
25,arcachon,100,86,44.59,51.01,3.06
26,chuy,84,41,-33.7,87.31,4.68
27,alice springs,1,24,-23.7,73.58,9.26
28,clyde river,77,78,70.47,-17.41,3.58
29,erenhot,0,82,43.65,15.62,7.67
30,san patricio,39,66,19.22,77.85,3.06
31,djougou,10,6,9.71,82.26,5.17
32,albany,90,74,42.6,41.0,9.17
33,bako,100,56,5.78,72.19,4.52
34,atuona,2,80,-9.8,80.69,16.53
35,behshahr,25,73,36.69,30.18,3.58
36,avarua,90,87,-21.21,79.95,14.99
37,dikson,100,96,73.51,-8.39,6.89
38,turtas,100,95,58.94,4.03,6.78
39,vilcun,0,34,-38.65,78.42,7.92
40,tuktoyaktuk,100,97,69.45,-13.74,19.69
41,upernavik,100,93,72.79,-12.46,5.79
42,mar del plata,0,92,-38.0,69.01,11.97
43,bluff,32,92,-46.6,52.0,3.02
44,castro,34,38,-24.79,80.62,4.25
45,saskylakh,100,93,71.92,-15.63,19.15
46,vila do maio,24,74,15.13,73.38,17.63
47,hasaki,100,69,35.73,39.99,1.99
48,luanda,1,76,-8.84,82.0,10.87
49,provideniya,0,81,64.38,-8.21,4.34
50,nemuro,96,70,43.32,17.2,30.42
51,alyangula,100,80,-13.85,82.49,12.12
52,lavrentiya,0,72,65.58,-14.75,2.15
53,hermanus,13,83,-34.42,68.0,11.99
54,sungaipenuh,100,97,-2.08,63.63,1.97
55,port alfred,1,91,-33.59,66.99,1.99
56,stornoway,100,95,58.21,46.0,5.01
57,monywa,0,45,22.12,60.19,4.23
58,waverley,0,60,-25.7,70.0,10.29
